set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xbcfe99af9ad76f22e8812d7499c83f53fd36a2e507fc14193d1b9408006c717f,BNP Paribas Open: Lorenzo Musetti vs Marton Fucsovics,RESIDUAL,,atp-musetti-fucsovi-2026-03-06,atp-musetti-fucsovi-2026-03-06,BNP Paribas Open: Lorenzo Musetti vs Marton Fucsovics
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xf350cc41ac29d91e546d12acbb84be6eeb9fde514cb7e8bb8447a78736e87a90,Will Santiago Gonzalez and David Pel win the 2025 Rolex Paris Masters Men’s Doubles Tournament,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xb411e7f5d6771c08a54c49f34d74d1eb08ca78dc792c477849003f33481c0298,Minnesota Timberwolves vs. Denver Nuggets: Game 4,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x72ad689becb745c29b4e3f799e774b9177475c1fee04e9578a6aa9dd0accf665,Dublin: Jurij Rodionov vs Quinn Vandecasteele,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xca8ff11bba147eb2e634b4df03bd00b248235dc562784f12c975bf302093b75e,Judge McConnell impeached before April?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xd31770c54e3b14c307307fe4c8f04cee3a437fad3d75aac436128db363fa8bd9,Will the Lions and 49ers combine for 51 or more points?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x20cbe65ee2a6d730ac7160540486947a6561bfe3918e1b08e84296b1e250c8f6,RC Celta de Vigo leading at halftime?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xbabf107e34f8bd44d451d93dceafba6e9f58e4a00af6c2e29b8a06d1d8695c56,"Will Ted Cruz post 120-139 posts from April 17 to April 24, 2026?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x29d3d4483b4894d06be2d4ff3b24b61d3ce57aacf1ae274f3449fe3f4bc7c20b,"Will the price of Bitcoin be between $96,000 and $98,000 on December 20?",RESIDUAL,,will-the-price-of-bitcoin-be-between-96000-98000-on-december-20,bitcoin-price-on-december-20,Bitcoin price on December 20?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x03bc8c82a7e32f446caff095ec6b7e8cff0000000000000000000000000000,Detroit Tigers vs. Chicago Cubs AND San Francisco Giants vs. Kansas City Royals AND Tampa Bay Rays vs. Toronto Blue Jays AND Cincinnati Reds vs. Seattle Mariners AND Washington Nationals vs. Colorado Rockies AND Miami Marlins vs. Houston Astros AND Chicago White Sox vs. Texas Rangers AND St. Louis Cardinals vs. Los Angeles Angels,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xc6a855d6f190d29fb994ded61b269d44ac66352920b75b3a5ed0d7749c5670c3,Brisbane International: Daniil Medvedev vs Marton Fucsovics,RESIDUAL,,atp-medvede-fucsovi-2026-01-03,atp-medvede-fucsovi-2026-01-03,Brisbane International: Daniil Medvedev vs Marton Fucsovics
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x93e35180d7ec38850781e9c189b57694ed06582c90e0043c5741e117bff27056,"Will Bill Clinton say ""Hillary"" at DNC speech?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x46b55d16bd6cc4cb706f9f526f2b6509f8ee29343accd302e59ee1f3d3d6a3b1,Will BYU beat Arizona by 4 or more points?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xb7a1b1915e0eba8a25756483b00604a4787b148beee4ac7e2a768faddd583547,Will the Georgia Tech Yellow Jackets be the #12 seed in the 2025-2026 College Football Playoff?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xfb6d969bb8f02fbc4a5eb7a9938f86ae287a535f959a1112b578a4d817e9f260,Map 1: Odd/Even Total Rounds?,RESIDUAL,,cs2-3dmax-sashia-2026-03-31-game1-odd-even-total-rounds,cs2-3dmax-sashia-2026-03-31,Counter-Strike: 3DMAX vs Sashi Academy (BO1) - Parken Challenger Championship Group B
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x72193c30f82f9509658fc32af072e53a0666ad046635c3cbc09c56b8fa191574,Will Temu: Shop Like a Billionaire be #2 Free App in the US Apple App Store on May 22?,RESIDUAL,,will-temu-shop-like-a-billionaire-be-2-free-app-in-the-us-apple-app-store-on-may-22,2-free-app-in-the-us-apple-app-store-on-may-22,#2 Free App in the US Apple App Store on May 22?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x30d370cfc140b6187e77340a37d6d4bf0dc202707106cc41ad61766ca0190a39,Houston Christian vs. Texas A&M Commerce,RESIDUAL,,,,
